PROXIMITY — PROPERTY DATABASE   |   One row per building/property,,,,,,,,,,,,,,,,
Building Name,Full Address,Neighborhood,"Walk ? Main Campus
(mins)","Walk ? Med Campus
(mins)",Shuttle/Bus Access,Building Type,Landlord / Mgmt Co,Landlord Contact,Pets,Parking,Laundry,Building Amenities,Earliest Availability,Overall Status,"WashU Student Area?
(High/Med/Low)",Notes / Flags
LOCAL on Delmar,"6650 Delmar Blvd, St. Louis, MO 63130",The Delmar Loop,15,,Ask,Large Complex,LOCAL (Developer),Info@localondelmar.com | Nathan Hebenstreit | 314-492-1300,Ask,Yes — integrated garage + EV,In-unit,"Rooftop pool, hot tub, 24/7 fitness, sauna, meditation rooms, study lounges, fire pits, co-working, bike storage, package lockers, co-living support",Aug 19 2026,Active — Pre-leasing,,Brand new building. Per-bedroom leasing available. Roommate matching offered. High amenity. Furnished units only.
6040–42 Kingsbury Ave,"6040–42 Kingsbury Ave, St. Louis, MO 63112",Skinker-DeBaliviere,20,,Ask,Multi-family,Manor Real Estate,apartments@manorrealestate.com | Manor RE | 314-647-6611,No info,Yes — parking pad rear,Shared (basement),,Now,Active,,Managed by Manor RE. Multiple units available at different dates. Long-established WashU landlord. Semester lease flexibility possible.
727 Leland Ave,"727 Leland Ave, University City, MO 63130",University City Loop,15–20,,Yes — on WashU shuttle route,Multi-family,Roberts Realty,robertsrealty@gmail.com | Andy,Cats + small dogs,Yes — private off-street,Free on-site,"Large balcony off 2 BRs, gourmet kitchen, granite countertops, SS appliances, hardwood floors, double-pane windows, central AC, free laundry on-site, off-street parking, secured entry, fenced yard",Now,Active,,Professionally managed. Right in heart of WashU student zone.
6044 Washington Blvd,"6044 Washington Blvd, St. Louis, MO 63112",University City Loop,20–25,,Ask,Multi-family,Manor Real Estate,apartments@manorrealestate.com | Manor RE | 314-647-6611,Ask,Ask,Shared (basement),,Now,Active,,Flexible lease terms available. One block south of Loop.
7325 Lindell Blvd,"7325 Lindell Blvd, St. Louis, MO 63130",Near Downtown Clayton,20,,Limited,Two-family building,STL Rental Services and Sales,mimi@stlrentalservicesandsales.com | Mimi Mackey | 314-609-2829,Cats + small dogs,No info,In-unit W/D,"Granite countertops, updated appliances, large eat-in kitchen, fenced backyard, basement storage, natural light, separate dining + study rooms",Now,Active,,"Next to Colleen's Cafe. Quieter, less student-dense area. Significantly more space than most 2-beds."
7337 Dartmouth Ave,"7337 Dartmouth Ave, University City, MO 63130",University City Loop,35,,Ask,Multi-family,Green Development (managed by Evernest),Tetsuro Wakatsuki | 608-566-6162,Ask,Yes — garage,In-unit hookups,[ADD DETAILS],Now,Active,,Professionally managed by Evernest. Lawn care included.
735 Interdrive,"735 Interdrive, University City, MO 63130",University City,20,,Ask,Multi-family,Roberts Realty,robertsrealty@gmail.com,No,Yes — off-street,Free (basement),"Fully furnished — all items in photos included. Stainless appliances, hardwood, new carpet BRs, central AC/heat",Now,Active,,Furnished. Water/sewer/trash included. Available immediately.
7350 Lindell Studio (above Colleen's),"7350 Lindell Blvd, St. Louis, MO 63130",Lindell/Forsyth,20,,Ask,Apartment Building,STL Rental Services and Sales,mimi@stlrentalservicesandsales.com | Mimi Mackey | 314-609-2829,Ask,Ask,On-site,"Secure building, keyless entry",Now,Active,,Above Colleen's Cookies. International students welcome. Keyless entry.
718 Limit Ave (Mosaic),"718 Limit Ave, University City, MO",University City,20,,Ask,Multi-family,Mosaic,lauren@mosaic314.com | Leslie Johnson | 314-974-0721,Ask,Yes — off-street,In-unit (free),"Open-concept living, renovated chef's kitchen, quartz countertops, large island, SS appliances, large backyard, secured front+back access, 24/7 on-site maintenance",Jun 1 2026,Active,,Owner is licensed MO broker. ALL utilities included in rent (water/sewer/trash/internet/electric/gas). Fully furnished.
725 Interdrive (Mosaic),"725 Interdrive, University City, MO 63130",University City,20,,Ask,Multi-family,Mosaic,lauren@mosaic314.com | Leslie Johnson | 314-974-0721,Ask,Yes — off-street,In-unit (free),"Open-concept living, renovated chef's kitchen, quartz countertops, large island, SS appliances, large backyard, double vanity bathroom, new furnace/AC/plumbing/electric/roof, secured front+back access, 24/7 on-site maintenance",TBD,Active — date TBD,,4+ bedroom Mosaic unit. ALL utilities included. Fully furnished. Note: different address from 735 Interdrive (separate property).
